"","id_bu","id_bu_encuesta","encuesta","encuesta_a","encuesta_m","pond","secu","estrato","region_3","zona_u_r","gse","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","bienestar_2","bienestar_7_a","bienestar_7_d","bienestar_7_f","bienestar_7_g","percepcion_5","percepcion_6","percepcion_38","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_gz","eval_act_pol_1_gy","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_fo","eval_act_pol_1_co","eval_act_pol_1_hc","eval_act_pol_1_gq","eval_act_pol_1_gw","eval_act_pol_1_gx","eval_act_pol_1_ha","eval_act_pol_1_gu","eval_act_pol_1_dv","eval_act_pol_1_ae","eval_act_pol_1_em","eval_act_pol_1_ep","eval_act_pol_1_en","eval_act_pol_1_hb","eval_act_pol_1_fw","confianza_6_a","confianza_6_b","confianza_6_c","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_6_ab","confianza_6_ac","democracia_21","pobreza_62","democracia_19","religion_63","religion_81_b","religion_81_a","mtf_66","mtf_53","mtf_45_d","mtf_45_h","mtf_45_k","religion_14","religion_15_b","religion_15_c","religion_15_d","religion_15_e","religion_15_f","religion_64","religion_82","religion_2","religion_91","religion_86","religion_88_a","religion_88_b","religion_88_c","religion_89","confianza_16_a","confianza_16_b","confianza_16_c","confianza_16_d","confianza_16_e","confianza_16_f","confianza_16_g","confianza_16_h","religion_31_a","religion_31_b","religion_31_c","religion_32_b","religion_33_a","religion_33_b","religion_90_a","religion_90_b","religion_90_c","religion_90_d","religion_71_a","religion_71_b","religion_72_b","religion_67","religion_39_g","religion_39_c","religion_39_d","religion_59_b","religion_59_c","religion_59_e","religion_37_a","religion_37_b","religion_37_c","religion_37_d","religion_37_g","religion_37_e","religion_75_d","religion_75_e","interes_pol_1_b","iden_pol_3","iden_pol_3_a","elec_part_37","elec_pres_144_a","elec_pres_144_b_2","municipio_17_a","municipio_17_b","municipio_17_c","elec_muni_17","elec_muni_14_d","estallido_5","estallido_17","sexo","edad","info_enc_59_2","info_enc_58","info_enc_30_b","info_enc_8","mtf_60","estado_civil_g","info_enc_61","esc_nivel_1_c","info_enc_57","info_hogar_28_c","info_enc_62","salud_5_b"
"1","1-92",1,92,2024,8,0.20965863,92071,8,6,1,4,3,7,10,2,2,6,4,5,5,4,3,2,4,2,2,-9,2,6,1,2,1,6,6,4,6,6,6,6,6,5,6,5,2,6,2,4,4,3,4,4,3,3,2,3,2,4,2,2,3,3,3,3,4,2,2,3,2,3,10,10,3,2,4,3,4,2,2,2,2,2,2,2,2,2,2,1,7,1,2,1,2,3,1,3,3,3,1,4,3,4,2,3,2,4,2,2,2,5,5,5,1,3,3,3,4,2,3,3,2,2,2,2,2,4,2,2,3,3,2,5,-8,-9,1,4,NA,3,8,2,4,4,-9,4,2,55,1,2,NA,1,3,1,2,6,2,2,1,4
"2","2-92",2,92,2024,8,1.22422711,92173,20,13,1,3,3,9,26,3,2,8,3,5,5,3,3,3,3,3,2,8,3,6,2,4,3,6,6,4,6,6,6,6,6,2,2,4,4,6,6,6,6,3,1,1,3,3,3,3,3,3,3,2,3,4,3,3,3,1,1,3,3,2,10,10,10,2,2,2,4,2,2,3,1,1,1,1,1,1,2,2,7,1,1,1,4,3,2,3,3,3,3,3,3,1,3,4,2,2,4,2,3,9,3,5,0,4,4,2,4,1,1,5,2,2,2,2,2,1,1,3,3,1,3,3,9,NA,2,NA,3,7,8,1,3,3,3,4,1,64,1,2,NA,1,2,1,2,3,1,NA,3,1
"3","3-92",3,92,2024,8,0.46204471,92193,20,13,1,3,14,10,4,4,2,7,5,5,5,4,3,2,3,2,3,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,2,3,2,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,9,7,8,3,2,1,4,1,1,2,2,4,4,3,4,4,2,9,5,1,2,3,1,6,1,3,3,4,2,3,3,-8,2,3,2,3,3,3,1,8,6,8,5,2,2,3,3,1,3,5,1,1,2,1,1,2,2,2,2,1,1,5,15,15,2,NA,4,9,3,2,4,3,1,3,2,24,2,2,NA,1,1,2,2,2,2,2,1,8
"4","4-92",4,92,2024,8,1.61588433,92173,20,13,1,3,1,10,2,3,2,6,3,-7,-7,4,3,3,5,2,1,3,5,6,3,5,4,2,3,3,6,6,6,6,6,2,1,3,3,6,2,2,2,4,4,3,4,3,3,4,3,4,2,4,2,3,3,1,3,3,2,4,4,1,3,5,1,4,4,2,-7,1,2,3,2,4,4,4,4,4,1,9,8,3,4,6,3,1,1,4,4,4,3,4,3,4,4,1,1,4,5,1,1,1,1,1,5,4,4,5,2,1,5,5,3,2,3,1,3,3,3,2,1,2,2,3,15,15,1,-9,NA,5,8,1,1,1,1,2,2,32,1,1,5,2,NA,8,2,6,2,4,1,4
"5","5-92",5,92,2024,8,1.24923019,92071,8,6,1,4,1,3,9,3,-8,8,4,5,-7,5,3,3,3,2,2,5,3,6,6,6,3,6,6,3,6,6,6,6,6,6,3,4,6,6,6,6,6,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,1,5,10,5,3,2,3,-7,3,3,2,2,1,1,1,1,1,2,1,7,3,2,1,6,4,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,5,5,5,5,4,4,3,4,2,3,4,3,3,3,-89,1,-89,2,2,-89,2,2,3,-8,-8,1,3,NA,5,8,2,3,3,2,3,1,34,1,2,NA,2,NA,2,2,6,1,NA,1,5
"6","6-92",6,92,2024,8,0.51500881,92193,20,13,1,3,5,10,13,2,3,10,5,-7,5,-7,3,3,3,3,3,10,3,6,6,6,3,6,6,5,6,6,6,6,6,6,6,4,6,6,6,6,6,1,4,1,4,3,3,2,1,3,1,1,3,4,2,3,3,2,-8,3,2,1,10,10,2,1,1,6,1,1,1,1,2,4,4,4,3,4,1,1,8,1,1,1,3,5,1,1,4,4,4,4,2,4,1,2,2,2,4,2,3,5,10,5,0,1,4,2,4,1,4,5,1,2,1,1,1,1,2,1,1,1,1,4,15,15,1,1,NA,2,4,8,3,3,5,4,2,63,1,2,NA,1,6,8,2,1,1,NA,8,1
"7","7-92",7,92,2024,8,1.49980961,92193,20,13,1,3,9,14,2,2,3,5,3,-7,4,5,3,3,5,3,2,5,2,6,6,1,1,2,6,1,6,6,6,6,6,4,4,3,6,6,6,6,1,4,4,3,4,4,1,4,2,4,3,4,4,4,2,2,4,4,4,3,4,2,10,10,10,2,3,1,2,1,1,5,2,4,1,4,2,1,2,9,8,4,4,4,1,2,2,4,4,4,4,4,4,4,3,5,1,5,5,2,1,5,5,5,5,1,3,5,4,5,5,3,1,1,3,1,4,4,4,4,2,4,3,3,17,NA,1,2,NA,8,9,3,3,2,2,3,1,28,4,2,NA,1,1,8,1,6,1,NA,1,3
"8","8-92",8,92,2024,8,0.49006527,92198,20,13,1,2,14,9,26,2,2,10,4,-7,5,4,4,3,4,3,3,5,2,1,2,1,1,6,1,2,6,6,6,6,6,6,1,3,2,6,2,1,3,3,4,4,4,3,4,-8,3,4,4,3,4,4,2,3,4,4,2,2,3,1,10,1,1,1,1,1,4,1,1,1,2,4,1,1,1,1,1,9,8,1,1,2,1,4,1,4,4,4,4,2,4,2,3,5,5,5,1,4,3,5,5,5,5,4,1,4,4,5,3,5,2,2,2,4,4,4,4,4,4,4,1,5,15,15,1,-9,NA,5,8,7,3,3,3,5,2,79,1,2,NA,1,2,7,2,3,1,NA,2,-8
"9","9-92",9,92,2024,8,1.19984769,92193,20,13,1,3,1,9,17,1,3,9,4,-7,-7,4,3,1,5,2,2,5,1,6,6,1,6,6,6,1,6,6,6,6,6,5,4,3,6,6,6,6,6,4,4,1,4,3,2,4,3,4,1,3,4,4,3,3,4,4,1,4,4,3,5,5,5,1,1,3,4,2,5,2,1,1,1,1,1,1,1,9,8,3,3,4,5,1,1,4,4,4,4,4,4,4,4,1,1,5,1,4,1,5,5,5,5,1,5,5,4,1,1,5,5,5,5,1,1,1,1,1,1,1,1,3,15,15,1,4,NA,5,11,2,3,3,3,3,1,22,1,2,NA,2,NA,8,2,3,2,4,1,7
"10","10-92",10,92,2024,8,0.36675726,92193,20,13,1,3,1,3,6,2,3,6,4,-7,5,-7,3,3,4,3,2,10,2,6,3,2,4,3,3,4,3,3,6,3,3,3,3,4,3,3,2,3,3,3,1,3,3,2,3,3,3,3,3,2,3,2,3,2,3,1,3,3,3,3,10,10,10,2,4,2,4,4,4,4,1,1,1,1,1,1,3,2,1,1,1,1,4,9,1,3,3,3,3,1,3,1,3,4,4,4,4,4,4,10,6,10,10,1,2,2,4,5,2,5,1,1,1,1,1,1,1,4,4,1,1,4,18,NA,1,2,NA,3,6,9,3,3,5,3,1,68,1,2,NA,1,8,7,2,1,1,NA,7,4
